Student ID,Name,Gender,Study Hours,Attendance (%),Math Score,Reading Score,Writing Score
1091,Student_91,Female,1.9,,67.5,76.9,78.1
1015,Student_15,Female,4.1,95.6,84.2,89.1,81.1
1116,Student_116,Female,5.0,76.0,86.7,85.4,84.6
1115,Student_115,Male,2.9,87.6,75.9,75.3,74.4
1162,Student_162,Male,4.7,62.9,98.3,75.1,87.6
1149,Student_149,Male,0.0,93.7,75.8,52.0,60.5
1224,Student_224,Female,3.5,85.7,88.1,,76.8
1140,Student_140,Male,5.5,87.5,100.0,78.2,99.9
1066,Student_66,Female,8.1,96.2,100.0,100.0,100.0
1003,Student_3,Male,3.9,100.0,89.3,79.3,78.0
1227,Student_227,Male,2.8,81.6,67.0,70.4,68.9
1284,Student_284,Male,6.0,72.5,99.3,84.4,100.0
1290,Student_290,Female,4.1,70.9,77.1,70.7,69.3
1128,Student_128,Male,3.8,73.7,86.6,87.1,92.8
1074,Student_74,Female,3.9,74.2,85.6,78.7,89.3
1221,Student_221,Male,5.5,74.9,95.2,78.5,82.9
1246,Student_246,Female,2.8,83.6,81.3,73.6,75.3
1178,Student_178,Male,3.3,80.2,83.9,64.9,85.3
1283,Student_283,Female,1.4,88.3,84.9,75.8,82.5
1071,Student_71,Female,3.7,77.4,86.0,79.8,86.0
1269,Student_269,Male,0.8,,57.0,68.6,58.9
1299,Student_299,Male,1.7,79.6,86.7,78.5,86.2
1100,Student_100,Male,5.0,75.9,90.5,86.7,99.1
1102,Student_102,Female,5.1,92.6,81.9,91.2,92.1
1092,Student_92,Female,2.6,80.1,73.2,,63.7
1256,Student_256,Male,2.8,95.9,69.3,87.7,77.7
1169,Student_169,Male,6.4,91.3,97.3,100.0,100.0
1019,Student_19,Female,2.4,82.3,78.2,74.9,75.2
1081,Student_81,Male,4.3,100.0,82.2,92.4,86.5
1075,Student_75,Male,2.7,100.0,80.6,76.4,78.3
1240,Student_240,Female,3.8,73.9,92.8,79.2,80.5
1056,Student_56,Female,2.9,79.2,91.7,76.0,77.9
1151,Student_151,Male,3.6,97.0,80.9,90.3,83.6
1207,Student_207,Female,4.1,77.1,92.5,69.1,84.6
1232,Student_232,Female,4.3,82.3,77.8,71.4,76.3
1223,Student_223,Female,2.8,93.2,71.9,90.4,85.6
1239,Student_239,Male,5.3,82.3,82.4,70.2,70.7
1241,Student_241,Female,4.0,100.0,88.3,94.8,91.1
1023,Student_23,Female,2.8,100.0,83.8,69.2,72.0
1146,Student_146,Male,5.2,80.8,96.5,82.6,91.5
1259,Student_259,Female,6.2,81.6,100.0,81.7,90.5
1254,Student_254,Male,4.0,100.0,100.0,77.8,89.2
1174,Student_174,Female,4.9,76.5,85.7,80.7,73.8
1281,Student_281,Female,5.8,90.9,89.5,91.9,79.1
1098,Student_98,Female,5.7,84.5,91.8,90.6,93.9
1298,Student_298,Male,2.3,84.0,76.4,78.2,69.7
1226,Student_226,Female,3.2,72.0,72.7,85.6,66.1
1263,Student_263,Male,5.3,73.9,86.7,100.0,86.6
1105,Student_105,Female,3.3,86.0,,78.9,87.8
1182,Student_182,Male,3.0,79.9,83.2,77.5,89.8
1095,Student_95,Female,4.8,85.5,100.0,,86.2
1244,Student_244,Male,3.6,84.8,86.5,81.8,79.6
1025,Student_25,Female,5.2,68.0,100.0,,88.0
1087,Student_87,Female,4.5,94.3,98.1,93.8,90.3
1279,Student_279,Male,2.0,74.2,68.6,67.2,69.9
1155,Student_155,Male,3.3,,81.6,76.1,72.4
1063,Student_63,Male,4.0,90.8,80.9,69.8,70.9
1287,Student_287,Male,1.6,79.8,80.7,61.6,68.3
1079,Student_79,Male,4.3,85.8,89.4,88.1,98.7
1112,Student_112,Male,5.6,67.0,,73.9,74.5
1051,Student_51,Male,5.4,83.9,100.0,84.3,96.5
1175,Student_175,Female,4.4,93.3,94.5,89.4,83.8
1127,Student_127,Female,2.8,93.4,79.8,74.6,80.0
1126,Student_126,Female,5.3,79.2,89.9,90.9,94.2
1164,Student_164,Female,3.1,92.7,83.6,77.5,82.0
1053,Student_53,Male,5.2,91.1,93.7,78.0,84.1
1062,Student_62,Male,5.2,82.5,79.3,81.8,79.7
1286,Student_286,Male,5.9,83.2,100.0,,91.6
1194,Student_194,Male,3.1,72.6,82.7,67.0,78.1
1029,Student_29,Female,1.6,64.3,60.7,70.9,69.0
1070,Student_70,Female,4.7,87.0,94.8,100.0,94.9
1037,Student_37,Female,4.4,84.4,,77.3,72.6
1041,Student_41,Male,4.4,79.7,78.7,76.5,74.5
1154,Student_154,Male,1.9,74.9,72.8,71.5,74.0
1012,Student_12,Male,7.3,98.7,100.0,100.0,90.1
1148,Student_148,Male,3.9,100.0,76.3,100.0,84.4
1295,Student_295,Female,4.2,64.2,,83.9,87.8
1257,Student_257,Male,4.0,97.5,89.4,93.0,95.5
1291,Student_291,Male,3.3,69.4,82.7,76.6,76.6
1214,Student_214,Male,5.2,83.7,95.1,84.9,96.7
1119,Student_119,Female,4.1,84.3,77.6,93.7,91.6
1099,Student_99,Female,5.4,82.6,100.0,93.7,98.5
1173,Student_173,Male,3.8,80.4,87.6,70.3,70.1
1047,Student_47,Female,2.5,100.0,75.4,83.7,80.3
1142,Student_142,Male,3.3,80.9,75.5,83.8,71.7
1128,Student_128,Male,3.8,73.7,86.6,87.1,92.8
1200,Student_200,Male,5.2,73.7,100.0,90.3,84.8
1218,Student_218,Male,2.7,100.0,96.2,67.5,70.2
1109,Student_109,Female,5.0,78.4,100.0,88.6,91.4
1107,Student_107,Female,7.5,68.3,97.9,100.0,100.0
1211,Student_211,Male,2.5,100.0,89.6,76.0,79.6
1297,Student_297,Female,5.1,87.1,100.0,86.4,90.4
1016,Student_16,Male,3.2,67.4,69.8,63.0,68.8
1114,Student_114,Female,2.4,85.5,71.6,,63.1
1008,Student_8,Male,2.6,100.0,66.9,73.4,73.5
1271,Student_271,Female,2.9,72.8,75.6,65.1,71.4
1147,Student_147,Male,2.6,87.9,79.2,54.4,63.6
1217,Student_217,Female,4.0,68.1,76.6,71.0,73.9
1208,Student_208,Female,4.9,,83.6,88.9,89.7
1009,Student_9,Male,6.1,82.5,86.4,90.1,88.3
1028,Student_28,Female,6.0,84.7,86.9,86.7,86.8
1274,Student_274,Female,6.8,81.3,100.0,97.5,96.6
1059,Student_59,Male,3.9,69.8,85.9,76.1,73.1
1203,Student_203,Male,5.0,,96.4,80.4,94.4
1161,Student_161,Male,2.5,93.3,78.1,69.5,69.0
1235,Student_235,Female,2.9,82.7,77.7,76.2,80.6
1032,Student_32,Male,5.2,91.7,88.3,95.6,85.3
1002,Student_2,Female,4.5,77.5,95.2,82.3,80.9
1289,Student_289,Male,4.0,78.0,84.0,77.0,76.6
1014,Student_14,Male,3.2,91.9,85.0,79.5,81.0
1010,Student_10,Female,1.9,94.7,81.0,90.0,88.9
1288,Student_288,Male,3.1,,89.9,87.1,95.1
1096,Student_96,Female,9.8,76.7,100.0,100.0,98.7
1035,Student_35,Female,4.8,79.9,83.9,94.8,83.6
1097,Student_97,Female,4.9,87.7,89.8,84.3,93.1
1190,Student_190,Female,4.9,98.6,100.0,93.4,96.0
1293,Student_293,Male,2.4,72.2,79.6,68.9,73.8
1272,Student_272,Female,4.2,92.1,79.0,73.0,78.8
1242,Student_242,Male,2.5,85.6,85.3,63.5,74.1
1195,Student_195,Male,4.8,67.2,90.8,67.9,77.5
1046,Student_46,Female,5.0,73.0,93.9,78.9,85.8
1215,Student_215,Male,4.9,85.6,100.0,92.9,93.3
1033,Student_33,Female,2.1,88.7,76.3,77.3,64.1
1078,Student_78,Female,5.3,99.8,98.4,91.1,90.7
1236,Student_236,Female,3.7,,87.1,,82.2
1134,Student_134,Male,3.0,83.0,98.4,63.4,80.3
1145,Student_145,Female,4.7,88.9,86.0,93.0,96.7
1157,Student_157,Male,6.2,,97.1,97.6,100.0
1064,Student_64,Male,6.2,88.1,97.2,89.0,97.5
1083,Student_83,Male,2.7,74.6,74.5,71.5,66.0
1237,Student_237,Female,4.5,100.0,90.1,90.1,89.6
1229,Student_229,Male,4.4,82.4,92.2,77.1,91.4
1238,Student_238,Female,6.2,96.3,100.0,100.0,99.0
1042,Student_42,Male,2.9,77.1,97.7,67.3,66.5
1185,Student_185,Male,5.2,80.6,100.0,87.0,97.3
1165,Student_165,Female,4.1,70.2,82.0,68.7,69.6
1110,Student_110,Male,1.6,90.7,69.4,61.1,60.2
1180,Student_180,Male,5.3,88.3,100.0,90.5,95.3
1222,Student_222,Male,3.8,68.5,75.9,87.7,75.0
1122,Student_122,Male,5.0,85.5,93.2,93.4,94.7
1052,Student_52,Female,4.6,82.8,82.7,,76.6
1057,Student_57,Female,2.7,82.2,82.4,72.8,75.8
1270,Student_270,Male,3.2,89.9,81.3,85.6,84.2
1159,Student_159,Male,5.7,88.3,,90.8,87.9
1086,Student_86,Male,2.3,71.2,71.8,70.6,67.8
1121,Student_121,Female,7.2,78.5,100.0,92.6,94.7
1294,Student_294,Female,3.8,100.0,92.9,83.9,95.6
1296,Student_296,Female,4.8,100.0,89.5,92.8,90.2
1209,Student_209,Female,2.8,100.0,82.9,,82.5
1247,Student_247,Male,4.8,79.3,93.8,87.3,89.8
1213,Student_213,Male,5.7,75.1,88.5,86.4,96.7
1088,Student_88,Male,4.8,100.0,89.7,65.8,78.0
1166,Student_166,Male,3.4,96.4,94.0,72.1,78.7
1243,Student_243,Female,4.0,85.1,88.0,93.9,96.1
1189,Student_189,Male,5.1,93.7,94.3,89.6,87.4
1106,Student_106,Female,4.1,92.5,,91.7,96.0
1245,Student_245,Male,4.5,87.0,93.3,78.0,91.6
1183,Student_183,Female,5.3,82.3,91.0,86.0,98.3
1050,Student_50,Female,2.8,87.1,77.8,61.2,63.0
1266,Student_266,Female,2.8,97.7,,75.8,76.4
1006,Student_6,Female,5.1,85.7,91.6,89.6,89.5
1018,Student_18,Female,4.1,64.6,72.9,61.5,72.2
1249,Student_249,Male,3.8,,85.5,83.7,72.3
1117,Student_117,Male,2.9,91.4,69.5,79.5,77.0
1243,Student_243,Female,4.0,85.1,88.0,93.9,96.1
1107,Student_107,Female,7.5,68.3,97.9,100.0,100.0
1188,Student_188,Male,3.2,75.8,75.0,70.3,69.4
1163,Student_163,Female,4.3,87.4,83.5,69.2,74.3
1135,Student_135,Male,6.6,88.7,96.7,,100.0
1250,Student_250,Male,4.6,79.6,93.2,74.5,86.4
1191,Student_191,Male,4.0,89.1,87.8,82.1,83.5
1065,Student_65,Male,3.6,100.0,86.0,95.0,88.4
1027,Student_27,Female,4.3,88.8,73.3,96.6,88.1
1231,Student_231,Female,3.3,82.5,95.2,71.1,77.7
1170,Student_170,Female,2.1,100.0,86.0,62.9,70.1
1181,Student_181,Male,4.5,95.4,100.0,73.4,91.7
1101,Student_101,Male,3.5,79.2,89.1,77.5,78.9
1198,Student_198,Female,5.6,84.4,96.5,82.8,87.3
1210,Student_210,Male,7.1,98.5,100.0,100.0,95.2
1136,Student_136,Male,4.6,79.0,83.1,74.9,78.3
1292,Student_292,Male,4.9,91.1,95.3,79.6,81.1
1268,Student_268,Female,3.1,73.7,80.4,71.4,80.7
1199,Student_199,Male,5.2,87.8,,81.6,83.4
1118,Student_118,Female,4.3,68.4,75.6,80.4,82.5
1167,Student_167,Female,4.2,88.4,100.0,84.0,94.0
1260,Student_260,Male,5.4,81.3,87.5,83.9,78.5
1137,Student_137,Male,2.1,85.9,69.1,63.3,67.2
1030,Student_30,Female,4.3,84.1,87.0,81.4,89.6
1080,Student_80,Female,2.1,,61.5,68.8,66.6
1205,Student_205,Female,4.5,89.8,,77.8,75.9
1141,Student_141,Female,1.7,88.4,83.7,83.2,86.2
1158,Student_158,Female,1.8,100.0,69.4,76.2,70.5
1132,Student_132,Male,3.5,77.0,84.2,75.7,75.9
1040,Student_40,Male,4.3,90.0,96.7,85.6,93.8
1179,Student_179,Male,3.1,89.8,,72.6,76.6
1206,Student_206,Male,3.8,87.2,86.2,97.3,100.0
1216,Student_216,Male,4.9,95.9,92.8,,91.5
1233,Student_233,Female,1.8,58.0,53.1,61.7,53.2
1055,Student_55,Male,3.6,79.7,76.5,73.2,72.3
1300,Student_300,Female,5.9,89.0,92.1,,93.9
1201,Student_201,Male,6.0,100.0,100.0,92.6,95.2
1044,Student_44,Female,4.7,74.6,88.3,90.3,91.4
1264,Student_264,Male,4.3,100.0,71.4,89.6,88.2
1049,Student_49,Female,5.7,78.0,100.0,96.1,98.3
1036,Student_36,Male,4.4,74.4,73.7,90.4,82.6
1060,Student_60,Male,4.5,98.7,99.5,76.8,77.8
1144,Student_144,Female,2.9,80.7,81.3,91.7,89.5
1054,Student_54,Female,6.8,92.6,100.0,100.0,95.3
1021,Student_21,Female,2.6,100.0,88.8,74.1,80.8
1125,Student_125,Male,3.0,95.1,89.6,83.3,88.3
1143,Student_143,Female,5.9,80.1,88.8,83.0,89.1
1111,Student_111,Female,3.3,77.4,75.6,87.8,77.7
1255,Student_255,Male,4.1,58.5,78.9,67.2,64.0
1077,Student_77,Female,3.3,84.9,84.5,76.4,81.9
1282,Student_282,Female,3.3,81.9,78.0,75.3,71.3
1273,Student_273,Female,4.5,,99.7,67.6,81.3
1108,Student_108,Female,1.2,90.4,81.1,77.6,84.4
1094,Student_94,Female,4.8,76.4,84.1,73.5,85.2
1013,Student_13,Male,2.5,75.4,74.0,70.4,67.2
1017,Student_17,Female,1.7,73.2,70.1,63.4,73.7
1048,Student_48,Male,5.2,85.4,93.5,63.8,78.6
1187,Student_187,Female,2.8,92.6,82.9,77.8,83.7
1204,Student_204,Male,3.5,92.3,85.6,82.4,86.8
1267,Student_267,Female,2.7,92.2,85.5,77.2,81.6
1120,Student_120,Male,3.0,72.9,70.1,75.5,70.4
1022,Student_22,Male,6.3,85.7,100.0,100.0,98.3
1084,Student_84,Female,4.2,83.1,91.4,64.9,70.7
1131,Student_131,Female,2.2,60.3,69.6,62.7,67.5
1230,Student_230,Male,3.2,70.0,75.9,,66.4
1214,Student_214,Male,5.2,83.7,95.1,84.9,96.7
1124,Student_124,Male,4.3,81.2,78.1,71.0,81.9
1034,Student_34,Female,2.0,75.6,64.9,55.1,63.7
1005,Student_5,Male,5.7,96.8,,90.0,89.1
1020,Student_20,Male,4.7,92.2,77.6,91.3,93.3
1220,Student_220,Male,3.0,80.7,60.6,94.8,80.4
1177,Student_177,Male,3.7,85.7,90.2,80.1,81.3
1150,Student_150,Female,2.5,81.7,89.8,58.8,67.0
1225,Student_225,Female,4.6,,87.6,84.2,79.7
1248,Student_248,Male,6.3,79.5,100.0,91.0,90.8
1277,Student_277,Male,2.7,81.4,78.2,76.0,71.5
1152,Student_152,Male,2.1,80.9,69.7,89.3,84.4
1234,Student_234,Female,1.9,84.5,67.0,63.7,66.5
1011,Student_11,Male,4.9,91.5,93.6,100.0,97.8
1072,Student_72,Female,5.1,70.8,96.9,85.2,91.4
1253,Student_253,Female,4.3,82.5,81.0,80.4,81.0
1093,Student_93,Female,4.8,79.1,90.4,87.6,81.6
1193,Student_193,Male,5.9,77.3,83.8,82.1,86.3
1258,Student_258,Female,4.7,64.3,78.8,82.7,74.9
1124,Student_124,Male,4.3,81.2,78.1,71.0,81.9
1196,Student_196,Female,3.7,100.0,100.0,97.5,100.0
1138,Student_138,Male,5.4,83.4,88.8,69.8,85.9
1261,Student_261,Male,7.2,70.9,97.4,100.0,100.0
1039,Student_39,Male,3.0,75.1,69.0,76.5,76.2
1202,Student_202,Female,4.0,86.3,87.8,90.9,89.0
1190,Student_190,Female,4.9,98.6,100.0,93.4,96.0
1252,Student_252,Male,3.4,86.1,93.4,66.5,75.9
1113,Student_113,Female,4.1,68.7,94.4,78.5,95.2
1184,Student_184,Male,4.5,75.2,87.0,84.5,91.5
1153,Student_153,Male,6.4,64.6,96.8,97.5,100.0
1192,Student_192,Male,4.2,100.0,90.6,86.3,85.8
1045,Student_45,Female,2.2,79.5,66.2,74.2,63.6
1276,Student_276,Female,3.1,89.4,81.2,60.1,69.0
1007,Student_7,Male,5.2,100.0,98.7,95.2,96.9
1251,Student_251,Female,5.0,,88.8,84.7,90.0
1076,Student_76,Female,1.7,93.8,60.4,70.1,62.4
1001,Student_1,Male,3.7,88.3,84.0,93.9,90.0
1069,Student_69,Female,2.4,68.9,74.7,65.1,79.7
1168,Student_168,Male,5.0,80.8,86.0,95.4,89.7
1219,Student_219,Female,4.1,83.4,73.9,79.8,79.1
1043,Student_43,Female,6.8,,,94.0,93.6
1073,Student_73,Male,4.7,78.5,94.5,90.3,98.5
1024,Student_24,Female,3.5,71.2,86.7,62.1,70.4
1186,Student_186,Male,4.9,88.8,85.1,97.1,95.2
1104,Student_104,Female,3.6,75.2,87.5,75.1,81.4
1212,Student_212,Male,2.2,79.9,61.0,68.9,71.2
1068,Student_68,Male,2.7,75.4,64.4,68.3,64.3
1026,Student_26,Female,2.2,84.4,82.4,79.7,81.6
1197,Student_197,Female,3.7,91.5,82.6,71.0,69.9
1176,Student_176,Female,3.1,76.4,86.6,65.7,80.3
